B-GOAL,B-SurgicalPreparation,B-IM,B-PI
null,null,null,Trauma
null,null,null,Trauma
cyst,null,null,null
null,null,null,foreign
null,null,null,Foreign
null,null,null,foreign
null,null,null,foreign
null,null,cyst-like,null
null,null,null,swelling
null,null,null,lesion
cyst,null,null,null
null,null,null,cyst
explosion,null,null,null
null,null,null,foreign
null,null,null,foreign
null,null,null,foreign
null,null,null,ves-
null,null,null,rupture
null,null,null,lesion
cyst,null,null,null
cyst,null,null,null
examination,null,null,null
null,null,2352,null
null,null,BY-NC,null
null,null,null,Trauma
null,null,null,foreign
null,anesthesia,null,null
null,null,null,lesion
null,null,null,lesion
null,null,cyst-like,null
drainage,null,null,null
null,null,null,ruptured
null,null,cyst-like,null
cyst,null,null,null
lining,null,null,null
null,null,null,hemorrhage
null,null,null,foreign
null,null,null,foreign
null,null,cyst-like,null
null,null,null,foreign
null,null,null,injury
null,null,null,explosion
null,null,null,foreign
null,null,null,infection
null,null,null,foreign
null,null,null,lesions
null,null,null,lesions
null,null,null,examples
null,null,null,foreign
null,null,null,foreign
null,null,null,Trauma
null,null,Photomicrograph,null
null,null,null,hemorrhage
null,null,Photomicrograph,null
lining,null,null,null
null,null,null,lesion
null,null,null,foreign
null,null,null,Pain
cyst,null,null,null
diagnosis,null,null,null
null,null,null,lesions
cyst,null,null,null
null,null,null,lesions
cyst,null,null,null
cyst,null,null,null
null,null,null,tumor
null,null,null,excluded
null,null,Radiographic,null
examination,null,null,null
examination,null,null,null
null,null,null,foreign
null,null,null,lesion
null,null,null,foreign
null,null,null,Trauma
null,null,Photomicrograph,null
null,null,null,foreign
null,null,null,Foreign
null,null,null,foreign
lining,null,null,null
null,null,null,foreign
null,null,null,materials
null,null,null,trauma
null,null,null,foreign
null,null,null,foreign
cyst,null,null,null
cyst,null,null,null
null,null,null,foreign
treatment,null,null,null
cyst,null,null,null
null,null,null,entities
null,null,Radiographic,null
examination,null,null,null
null,null,null,foreign
cyst,null,null,null
null,null,S.C.,null
null,null,null,Foreign
null,null,null,foreign
null,null,null,105–110
null,null,null,D.
null,null,null,Foreign
null,null,null,tumor
null,null,Brogdon,null
null,null,null,P.
null,null,null,D.
cyst,null,null,null
null,null,null,J.L.
null,null,null,foreign
null,null,null,L.M.
null,null,null,Trauma
null,null,MBBS,null
null,null,MD,null
null,null,MBBS,null
null,null,null,F.
repair,null,null,null
null,null,(2002),null
null,null,null,injury
null,null,null,R.J.
null,null,null,lesion
R.,null,null,null
null,null,null,433–438
