B-SurgicalPreparation,B-IM,B-PI,B-SurgicalProcedure,B-GOAL
null,null,Trauma,null,null
null,null,Trauma,null,null
null,null,null,null,management
null,null,Neurosurgery,null,null
null,null,null,Surgery,null
null,null,Trauma,null,null
null,null,null,null,Management
null,null,injury,null,null
null,null,trauma,null,null
null,null,null,Surgery,null
null,null,Trauma,null,null
null,null,injury,null,null
null,null,null,laparotomy,null
null,null,null,splenectomy,null
null,null,tion,null,null
null,null,null,null,management
null,null,null,null,drainage
null,null,rupture,null,null
null,null,null,null,management
null,BY-NC,null,null,null
null,null,antonio.tarabay@chuv.ch,null,null
null,2352,null,null,null
null,BY-NC,null,null,null
null,null,Trauma,null,null
null,null,rupture,null,null
null,null,leakage,null,null
null,null,injury,null,null
null,null,leak,null,null
null,null,trauma,null,null
null,null,loss,null,null
null,FAST,null,null,null
null,null,null,null,examination
null,CT,null,null,null
null,null,fractures,null,null
null,null,hemoperitoneum,null,null
null,null,injury,null,null
null,null,injury,null,null
null,null,fracture,null,null
null,CT,null,null,null
null,null,null,null,imaging
null,null,null,null,drained
null,null,null,laparotomy,null
null,null,null,splenectomy,null
null,null,hematoma,null,null
null,null,injuries,null,null
null,null,null,surgery,null
null,null,null,null,exploration
null,null,lesions,null,null
null,null,null,null,MRI
null,null,ligament,null,null
null,null,hematoma,null,null
null,null,contusion,null,null
null,null,null,surgery,null
null,null,null,null,reduction
null,null,leak,null,null
null,null,CSF,null,null
null,null,null,null,repair
null,null,leakage,null,null
null,null,null,laparotomy,null
null,null,hematoma,null,null
null,CT,null,null,null
null,null,null,null,MRI
null,null,hematoma,null,null
null,null,null,null,reduction
null,null,Trauma,null,null
null,null,injury,null,null
null,ERCP,null,null,null
null,null,extravasation,null,null
null,null,lesions,null,null
null,null,pain,null,null
null,null,hallucinations,null,null
null,null,null,null,MRI
null,CT,null,null,null
null,null,injury,null,null
null,null,null,surgery,null
null,null,CSF,null,null
null,null,leak,null,null
null,null,null,null,repaired
null,null,null,null,drainage
null,null,tions,null,null
null,null,null,null,closure
null,CT,null,null,null
null,null,null,null,treatment
null,Meropenem,null,null,null
null,null,dorsal,null,null
null,null,trauma,null,null
null,null,dorsal,null,null
null,null,leak,null,null
null,ERCP,null,null,null
null,CT,null,null,null
null,null,Trauma,null,null
null,null,null,null,drainage
general,null,null,null,null
null,CT,null,null,null
null,null,null,null,treatment
null,CT,null,null,null
null,null,injury,null,null
null,null,fractures,null,null
null,null,lesions,null,null
null,null,injuries,null,null
null,null,injury,null,null
null,null,injury,null,null
null,null,fracture,null,null
null,null,ecchymosis,null,null
null,null,injury,null,null
null,null,trauma,null,null
null,null,Injury,null,null
null,null,trauma,null,null
null,null,injury,null,null
null,null,null,null,diagnosis
null,null,null,null,treatment
null,null,injury,null,null
null,null,trauma,null,null
null,null,injured,null,null
null,null,disruption,null,null
null,null,injury,null,null
null,null,leakage,null,null
null,null,trauma,null,null
null,null,null,null,management
null,null,null,null,drainage
null,null,null,null,management
null,ERCP,null,null,null
null,null,injury,null,null
null,null,extravasation,null,null
null,null,Finnish,null,null
null,null,null,null,closure
null,ERCP,null,null,null
null,null,null,null,treatment
null,null,injury,null,null
null,null,null,pancreatectomy,null
null,null,null,null,drainage
null,null,lesions,null,null
null,null,dam-,null,null
null,null,CSF,null,null
null,null,Trauma,null,null
null,null,trauma,null,null
null,null,disruption,null,null
null,null,CSF,null,null
null,null,infection,null,null
null,null,inury,null,null
null,null,null,null,exploration
null,null,trauma,null,null
null,null,null,laparotomy,null
null,null,injury,null,null
null,CT,null,null,null
null,null,null,null,imaging
null,null,injury,null,null
null,null,injury,null,null
null,47–60,null,null,null
null,null,injuries,null,null
null,null,trauma,null,null
null,CT,null,null,null
null,null,injury,null,null
null,null,injury,null,null
null,null,null,null,management
null,null,null,null,treatment
null,null,trauma,null,null
null,null,pseudo-,null,null
null,ERCP,null,null,null
null,null,null,null,treatment
null,null,interventions,null,null
null,null,trauma,null,null
null,null,lesions,null,null
null,null,null,null,Treatment
null,null,trauma,null,null
null,null,null,null,management
null,null,honoraria,null,null
null,null,null,null,’
null,null,patent,null,null
null,null,materials,null,null
null,null,injury,null,null
null,null,Trauma,null,null
null,null,injury,null,null
null,null,fracture,null,null
null,null,injury,null,null
null,null,Trauma,null,null
null,null,D.,null,null
null,null,injuries,null,null
null,null,fractures,null,null
null,null,null,null,management
null,null,injury,null,null
null,null,Trauma,null,null
null,null,B.C.,null,null
null,null,R.J.,null,null
null,null,Y.C.,null,null
null,null,J.L.,null,null
null,null,null,null,Management
null,null,injury,null,null
null,null,Trauma,null,null
null,null,774–778,null,null
null,null,K.C.,null,null
null,null,rupture,null,null
null,null,Fitzgerald,null,null
null,null,J.C.,null,null
null,null,trauma,null,null
null,null,Trauma,null,null
null,S.P.,null,null,null
null,null,null,null,Management
null,null,trauma,null,null
null,null,Injury,null,null
null,null,N.,null,null
null,null,null,null,R.
null,null,P.,null,null
null,null,null,null,R.
null,null,null,null,R.
null,null,penetrating,null,null
null,null,trauma,null,null
null,(2007),null,null,null
null,null,Souza,null,null
null,null,null,null,management
null,null,null,null,treatment
null,null,injury,null,null
null,null,null,null,management
null,S.P.,null,null,null
null,null,trauma,null,null
null,null,null,null,management
null,null,Trauma,null,null
null,null,null,null,Imaging
null,null,trauma,null,null
null,null,N.,null,null
